day,y1
0.000000000000000000e+00,2.100000000000000000e+01
1.000000000000000021e-02,2.030269900300000074e+01
2.000000000000000042e-02,1.961079204800000042e+01
2.999999999999999889e-02,1.892427324299999825e+01
4.000000000000000083e-02,1.824313676799999939e+01
5.000000000000000278e-02,1.756737687500000078e+01
5.999999999999999778e-02,1.689698788800000173e+01
7.000000000000000666e-02,1.623196420300000042e+01
8.000000000000000167e-02,1.557230028799999921e+01
8.999999999999999667e-02,1.491799068299999931e+01
1.000000000000000056e-01,1.426903000000000077e+01
1.100000000000000006e-01,1.362541292300000073e+01
1.199999999999999956e-01,1.298713420800000051e+01
1.300000000000000044e-01,1.235418868300000028e+01
1.400000000000000133e-01,1.172657124800000084e+01
1.499999999999999944e-01,1.110427687500000005e+01
1.600000000000000033e-01,1.048730060799999997e+01
1.700000000000000122e-01,9.875637562999999730e+00
1.799999999999999933e-01,9.269282928000000865e+00
1.900000000000000022e-01,8.668231963000000206e+00
2.000000000000000111e-01,8.072480000000000544e+00
2.099999999999999922e-01,7.482022442999999967e+00
2.200000000000000011e-01,6.896854767999999858e+00
2.300000000000000100e-01,6.316972522999999562e+00
2.399999999999999911e-01,5.742371327999999941e+00
2.500000000000000000e-01,5.173046874999999822e+00
2.600000000000000089e-01,4.608994928000000435e+00
2.700000000000000178e-01,4.050211323000000085e+00
2.800000000000000266e-01,3.496691967999999928e+00
2.899999999999999800e-01,2.948432842999999970e+00
2.999999999999999889e-01,2.405429999999999957e+00
3.099999999999999978e-01,1.867679563000000043e+00
3.200000000000000067e-01,1.335177727999999897e+00
3.300000000000000155e-01,8.079207630000000417e-01
3.400000000000000244e-01,2.859050080000000160e-01
3.499999999999999778e-01,-2.308731250000000124e-01
3.599999999999999867e-01,-7.424171520000000246e-01
3.699999999999999956e-01,-1.248730517000000040e+00
3.800000000000000044e-01,-1.749816591999999948e+00
3.900000000000000133e-01,-2.245678676999999901e+00
4.000000000000000222e-01,-2.736320000000000086e+00
4.099999999999999756e-01,-3.221743716999999840e+00
4.199999999999999845e-01,-3.701952911999999873e+00
4.299999999999999933e-01,-4.176950597000000265e+00
4.400000000000000022e-01,-4.646739711999999578e+00
4.500000000000000111e-01,-5.111323125000000189e+00
4.600000000000000200e-01,-5.570703631999999850e+00
4.699999999999999734e-01,-6.024883957000000123e+00
4.799999999999999822e-01,-6.473866752000000169e+00
4.899999999999999911e-01,-6.917654597000000294e+00
5.000000000000000000e-01,-7.356250000000000178e+00
5.100000000000000089e-01,-7.789655396999999759e+00
5.200000000000000178e-01,-8.217873151999999237e+00
5.300000000000000266e-01,-8.640905556999999959e+00
5.400000000000000355e-01,-9.058754831999999979e+00
5.500000000000000444e-01,-9.471423124999999388e+00
5.600000000000000533e-01,-9.878912511999999424e+00
5.699999999999999512e-01,-1.028122499700000070e+01
5.799999999999999600e-01,-1.067836251199999964e+01
5.899999999999999689e-01,-1.107032691699999916e+01
5.999999999999999778e-01,-1.145711999999999975e+01
6.099999999999999867e-01,-1.183874347699999952e+01
6.199999999999999956e-01,-1.221519899199999948e+01
6.300000000000000044e-01,-1.258648811700000003e+01
6.400000000000000133e-01,-1.295261235199999916e+01
6.500000000000000222e-01,-1.331357312499999956e+01
6.600000000000000311e-01,-1.366937179199999974e+01
6.700000000000000400e-01,-1.402000963699999936e+01
6.800000000000000488e-01,-1.436548787199999921e+01
6.899999999999999467e-01,-1.470580763699999949e+01
6.999999999999999556e-01,-1.504096999999999973e+01
7.099999999999999645e-01,-1.537097595700000063e+01
7.199999999999999734e-01,-1.569582643200000049e+01
7.299999999999999822e-01,-1.601552227699999875e+01
7.399999999999999911e-01,-1.633006427200000132e+01
7.500000000000000000e-01,-1.663945312499999929e+01
7.600000000000000089e-01,-1.694368947199999909e+01
7.700000000000000178e-01,-1.724277387700000119e+01
7.800000000000000266e-01,-1.753670683200000013e+01
7.900000000000000355e-01,-1.782548875699999869e+01
8.000000000000000444e-01,-1.810912000000000077e+01
8.100000000000000533e-01,-1.838760083700000081e+01
8.199999999999999512e-01,-1.866093147200000146e+01
8.299999999999999600e-01,-1.892911203699999945e+01
8.399999999999999689e-01,-1.919214259199999972e+01
8.499999999999999778e-01,-1.945002312500000130e+01
8.599999999999999867e-01,-1.970275355200000078e+01
8.699999999999999956e-01,-1.995033371699999947e+01
8.800000000000000044e-01,-2.019276339199999981e+01
8.900000000000000133e-01,-2.043004227699999831e+01
9.000000000000000222e-01,-2.066216999999999970e+01
9.100000000000000311e-01,-2.088914611699999924e+01
9.200000000000000400e-01,-2.111097011200000040e+01
9.300000000000000488e-01,-2.132764139700000072e+01
9.399999999999999467e-01,-2.153915931199999889e+01
9.499999999999999556e-01,-2.174552312499999829e+01
9.599999999999999645e-01,-2.194673203199999989e+01
9.699999999999999734e-01,-2.214278515699999872e+01
9.799999999999999822e-01,-2.233368155200000160e+01
9.899999999999999911e-01,-2.251942019699999875e+01
1.000000000000000000e+00,-2.269999999999999929e+01
1.010000000000000009e+00,-2.287541979699999928e+01
1.020000000000000018e+00,-2.304567835199999948e+01
1.030000000000000027e+00,-2.321077435699999825e+01
1.040000000000000036e+00,-2.337070643199999864e+01
1.050000000000000044e+00,-2.352547312500000132e+01
1.060000000000000053e+00,-2.367507291200000097e+01
1.070000000000000062e+00,-2.381950419700000054e+01
1.080000000000000071e+00,-2.395876531200000059e+01
1.090000000000000080e+00,-2.409285451699999925e+01
1.100000000000000089e+00,-2.422176999999999936e+01
1.110000000000000098e+00,-2.434550987700000135e+01
1.120000000000000107e+00,-2.446407219199999972e+01
1.129999999999999893e+00,-2.457745491700000073e+01
1.139999999999999902e+00,-2.468565595200000118e+01
1.149999999999999911e+00,-2.478867312499999898e+01
1.159999999999999920e+00,-2.488650419200000030e+01
1.169999999999999929e+00,-2.497914683699999827e+01
1.179999999999999938e+00,-2.506659867200000136e+01
1.189999999999999947e+00,-2.514885723700000142e+01
1.199999999999999956e+00,-2.522591999999999857e+01
1.209999999999999964e+00,-2.529778435700000117e+01
1.219999999999999973e+00,-2.536444763200000097e+01
1.229999999999999982e+00,-2.542590707700000152e+01
1.239999999999999991e+00,-2.548215987200000043e+01
1.250000000000000000e+00,-2.553320312500000000e+01
1.260000000000000009e+00,-2.557903387200000012e+01
1.270000000000000018e+00,-2.561964907699999827e+01
1.280000000000000027e+00,-2.565504563200000021e+01
1.290000000000000036e+00,-2.568522035699999861e+01
1.300000000000000044e+00,-2.571017000000000152e+01
